0,1,2,3,4
,precision,recall,f1-score,support
acq,0.90,0.95,0.93,1650
alum,0.89,0.49,0.63,35
barley,0.00,0.00,0.00,37
bop,0.66,0.44,0.53,75
carcass,0.67,0.08,0.14,50
castor-oil,0.00,0.00,0.00,1
cocoa,0.86,0.87,0.86,55
coconut,0.00,0.00,0.00,4
coconut-oil,0.00,0.00,0.00,4
coffee,0.83,0.89,0.86,111
copper,0.68,0.45,0.54,47
copra-cake,0.00,0.00,0.00,2
corn,0.33,0.01,0.01,181
cotton,0.71,0.38,0.50,39
cotton-oil,0.00,0.00,0.00,1
cpi,0.85,0.80,0.82,69
cpu,0.00,0.00,0.00,3
crude,0.73,0.82,0.77,389
dfl,0.00,0.00,0.00,2
dlr,0.40,0.03,0.06,131
dmk,0.00,0.00,0.00,10
earn,0.98,0.98,0.98,2877
fuel,0.56,0.38,0.45,13
gas,0.33,0.03,0.05,37
gnp,0.56,0.86,0.68,101
gold,0.67,0.95,0.79,94
grain,0.35,0.94,0.51,433
groundnut,0.00,0.00,0.00,5
groundnut-oil,0.00,0.00,0.00,1
heat,1.00,0.29,0.44,14
hog,0.00,0.00,0.00,16
housing,1.00,0.62,0.77,16
income,1.00,0.56,0.71,9
instal-debt,1.00,0.80,0.89,5
interest,0.73,0.61,0.66,347
ipi,0.84,0.90,0.87,41
iron-steel,0.79,0.75,0.77,40
jet,0.00,0.00,0.00,4
jobs,0.91,0.70,0.79,46
l-cattle,0.00,0.00,0.00,6
lead,0.80,0.27,0.40,15
lei,0.90,0.75,0.82,12
lin-oil,0.00,0.00,0.00,1
livestock,0.50,0.68,0.58,75
lumber,0.00,0.00,0.00,10
meal-feed,0.75,0.10,0.18,30
money-fx,0.58,0.79,0.67,538
money-supply,0.89,0.87,0.88,138
naphtha,0.00,0.00,0.00,2
nat-gas,0.63,0.44,0.52,75
nickel,0.00,0.00,0.00,8
nkr,0.00,0.00,0.00,1
nzdlr,0.00,0.00,0.00,2
oat,0.00,0.00,0.00,8
oilseed,0.42,0.32,0.36,124
orange,1.00,0.31,0.48,16
palladium,0.00,0.00,0.00,2
palm-oil,0.00,0.00,0.00,30
palmkernel,0.00,0.00,0.00,2
pet-chem,0.83,0.25,0.38,20
platinum,0.00,0.00,0.00,5
potato,0.00,0.00,0.00,3
propane,0.00,0.00,0.00,3
rand,0.00,0.00,0.00,2
rape-oil,0.00,0.00,0.00,5
rapeseed,0.00,0.00,0.00,18
reserves,0.84,0.78,0.81,55
retail,0.94,0.70,0.80,23
rice,0.00,0.00,0.00,35
rubber,1.00,0.57,0.72,37
rye,0.00,0.00,0.00,1
ship,0.68,0.64,0.66,197
silver,0.00,0.00,0.00,21
sorghum,0.00,0.00,0.00,24
soy-meal,0.00,0.00,0.00,13
soy-oil,0.00,0.00,0.00,14
soybean,0.00,0.00,0.00,78
strategic-metal,1.00,0.19,0.32,16
sugar,0.84,0.84,0.84,126
sun-meal,0.00,0.00,0.00,1
sun-oil,0.00,0.00,0.00,5
sunseed,0.00,0.00,0.00,11
tea,0.00,0.00,0.00,9
tin,1.00,0.67,0.80,18
trade,0.70,0.82,0.76,369
unknown,0.89,0.94,0.91,1830
veg-oil,0.43,0.69,0.53,87
wheat,0.00,0.00,0.00,212
wpi,0.64,0.74,0.68,19
yen,0.00,0.00,0.00,45
zinc,0.75,0.29,0.41,21
accuracy,,,0.79,11413
macro avg,0.40,0.31,0.32,11413
weighted avg,0.77,0.79,0.76,11413
